"ITTER107","Territory","TIPO_DATO15","Biometric functions","SEXISTAT1","Gender","ETA1","Age and age class","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y10-14","10-14 years","1999","1999",69.397,,
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y10-14","10-14 years","2000","2000",69.832,,
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y10-14","10-14 years","2001","2001",70.29,,
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y10-14","10-14 years","2002","2002",70.472,,
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y10-14","10-14 years","2003","2003",70.374,,
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y10-14","10-14 years","2004","2004",71.093,,
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y10-14","10-14 years","2005","2005",71.118,,
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y10-14","10-14 years","2006","2006",71.45,,
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y10-14","10-14 years","2007","2007",71.563,,
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y10-14","10-14 years","2008","2008",71.64,,
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y10-14","10-14 years","2009","2009",71.764,,
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y10-14","10-14 years","2010","2010",72.11,,
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y10-14","10-14 years","2011","2011",72.289,,
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y10-14","10-14 years","2012","2012",72.364,,
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y10-14","10-14 years","2013","2013",72.668,,
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y10-14","10-14 years","2014","2014",72.925,,
